,album_name,release_date,total_tracks,artist_name,type,uri
0,Her Loss,2022-11-04,16,Drake,album,spotify:album:5MS3MvWHJ3lOZPLiMxzOU6
1,Her Loss,2022-11-03,16,Drake,album,spotify:album:41NvzpIHKpaYHKnh1bF3TN
2,"Honestly, Nevermind",2022-06-17,14,Drake,album,spotify:album:3cf4iSSKd8ffTncbtKljXw
3,"Honestly, Nevermind",2022-06-16,14,Drake,album,spotify:album:2hicq6IKmDsPxZV7fJablX
4,Certified Lover Boy,2021-09-03,21,Drake,album,spotify:album:3SpBlxme9WbeQdI9kx7KAV
5,Certified Lover Boy,2021-09-02,21,Drake,album,spotify:album:6sp02aeyiwfX35xRqwNiPv
6,Dark Lane Demo Tapes,2020-05-01,14,Drake,album,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK
7,Dark Lane Demo Tapes,2020-05-01,14,Drake,album,spotify:album:45c1tgTktunRMmfh3WVh8U
8,Care Package,2019-08-02,17,Drake,album,spotify:album:7dqpveMVcWgbzqYrOdkFTD
9,Care Package,2019-08-02,17,Drake,album,spotify:album:6CY70qRxPutN3VKfYhNREa
10,So Far Gone,2019-02-14,18,Drake,album,spotify:album:2podUJIFG8hLfFz7Kqe8yJ
11,Scorpion,2018-06-29,25,Drake,album,spotify:album:1ATL5GLyefJaxhQzSPVrLX
12,Scorpion,2018-06-29,25,Drake,album,spotify:album:42wvKYHFezpmDuAP43558f
13,More Life,2017-03-18,22,Drake,album,spotify:album:1lXY618HWkwYKJWBRYR4MK
14,More Life,2017-03-18,22,Drake,album,spotify:album:4dvkEfxroInqojJWP06R2V
15,Views,2016-05-06,20,Drake,album,spotify:album:40GMAhriYJRO1rsY4YdrZb
16,Views,2016-05-06,20,Drake,album,spotify:album:2yIwhsIWGRQzGQdn1czSK0
17,What A Time To Be Alive,2015-09-25,11,Drake,album,spotify:album:15QCBYjP6HwHvsff100UBx
18,What A Time To Be Alive,2015-09-20,11,Drake,album,spotify:album:1ozpmkWcCHwsQ4QTnxOOdT
19,If You're Reading This It's Too Late,2015-02-12,17,Drake,album,spotify:album:0ptlfJfwGTy0Yvrk14JK1I
20,If You're Reading This It's Too Late,2015-02-12,17,Drake,album,spotify:album:5bqZfS9HUBTtxW0UiG05qC
21,Nothing Was The Same (Deluxe),2013-01-01,15,Drake,album,spotify:album:5mz0mJxb80gqJIcRf9LGHJ
22,Nothing Was The Same (Deluxe),2013-01-01,15,Drake,album,spotify:album:3s8Lsh6OjP2uWK6UYaTzEv
23,Nothing Was The Same,2013-01-01,13,Drake,album,spotify:album:1XslIirSxfAhhxRdn4Li9t
24,Nothing Was The Same,2013-01-01,13,Drake,album,spotify:album:3PAv4PLPv9V68fstzIqhyb
25,Take Care (Deluxe),2011-11-15,19,Drake,album,spotify:album:6X1x82kppWZmDzlXXK3y3q
26,Take Care (Deluxe),2011-11-15,19,Drake,album,spotify:album:4epK17BZv559EXBACsQXQG
27,Thank Me Later,2010-01-01,14,Drake,album,spotify:album:6jlrjFR9mJV3jd1IPSplXU
28,Thank Me Later,2010-01-01,14,Drake,album,spotify:album:5EReyE1t1d2tzKwwATAqTo
29,So Far Gone,2009,18,Drake,album,spotify:album:1LShhEEKRT5MNPcO7jtYHh
